elpd_diff	se_diff	elpd_kfold	se_elpd_kfold	p_kfold	se_p_kfold
0	0	-113607.643857827	36226.084060342	34834.4931205851	19312.3101188176
-87437.8550171924	44204.9715239685	-201045.498875019	72998.6454273947	66049.6705094624	39664.5950374719
-249503.796329142	141705.764418313	-363111.440186969	165778.979025675	136255.132461609	80475.5334713903
