stem	back	front	log_odds_back	stem_freq	stem_varies	sd_back	transcribed	p_back	n1	n2	borrowing_language2	borrowing_period2	stem_log10_freq	international2	category_educated	borrowing_language	borrowing_period	borrowing_label	borrowing_category	first_mention	borrowing_original	international	note	category_educated_other
falzett	31	212	-1.9225990701868665	243	TRUE	5.20050646473129	falzett	0.12757201646090532	29	40	other (n = 29)	19th c (n = 40)	-1.5686362358410126		NA	other	19th c		NA	1834	NA	NA	NA	other
farmer	7287	20249	-1.0220134709289872	27536	TRUE	73.20247222109023	farmer	0.2646353864032539	33	26	English (n = 33)	18th c (n = 26)	0.48565834354416015		NA	English	18th c	English; 18th c	NA	1793	NA	NA	NA	other
fater	5385	190	3.344348517430003	5575	TRUE	13.54712750649119	fater	0.9659192825112108	47	15	German (n = 47)	17th c (n = 15)	-0.20799763771912658		FALSE	German	17th c	German; 17th c	German/Yiddish (colloquial)	1628	német	FALSE	NA	colloquial
flanel	73	159	-0.7784447610718404	232	TRUE	7.07320100193633	flanel	0.3146551724137931	47	15	German (n = 47)	17th c (n = 15)	-1.5887545245484251		FALSE	German	17th c	German; 17th c	German/Yiddish (colloquial)	1697	német	FALSE	NA	colloquial
flaszter	194	922	-1.5586870644932656	1116	TRUE	12.660015231550174	flaster	0.1738351254480287	47	26	German (n = 47)	18th c (n = 26)	-0.906578314837765		FALSE	German	18th c	German; 18th c	German/Yiddish (colloquial)	1795	német	FALSE	NA	colloquial
flóbert	5	50	-2.3025850929940455	55	TRUE	2.1320071635561044	flóbert	0.09090909090909093	27	40	French (n = 27)	19th c (n = 40)	-2.213879819945081		TRUE	French	19th c	French	French/Latin (educated)	1900	NA	NA	NA	educated
fotel	11597	25177	-0.7751844353673116	36774	TRUE	89.10547356389542	fotel	0.3153586773263719	27	40	French (n = 27)	19th c (n = 40)	0.6112983622964289	international word	TRUE	French	19th c	French	French/Latin (educated)	1848	nemzetközi	TRUE	international word	educated
fráter	34	997	-3.378390245345677	1031	TRUE	5.73400021685611	fráter	0.03297769156159069	15	2	Latin (n = 15)	before 16th c (n = 2)	-0.9409838441558084		TRUE	Latin	before 16th c	Latin	French/Latin (educated)	1372	latin	FALSE	NA	educated
fuser	5	19	-1.3350010667323402	24	TRUE	1.9895560643855537	fušer	0.20833333333333331	47	6	German (n = 47)	16th c (n = 6)	-2.574031267727719		FALSE	German	16th c	German; 16th c	German/Yiddish (colloquial)	1564	német (k	FALSE	NA	colloquial
gatyesz	22	9	0.8938178760220965	31	TRUE	2.527270617522696	gaṯes	0.7096774193548386	29	50	other (n = 29)	unknown (n = 50)	-2.462880815605052		NA	other	unknown		NA	NA	NA	NA	NA	other
gukker	18	52	-1.0608719606852628	70	TRUE	3.656696401320264	gukker	0.2571428571428571	47	40	German (n = 47)	19th c (n = 40)	-2.109144469425068		FALSE	German	19th c	German; 19th c	German/Yiddish (colloquial)	1900	NA	NA	NA	colloquial
gólem	1	1736	-7.459338895220296	1737	TRUE	0.999712105939046	gólem	5.757052389176739e-4	11	50	Yiddish (n = 11)	unknown (n = 50)	-0.7144426909922262		FALSE	Yiddish	unknown	Yiddish	German/Yiddish (colloquial)	NA	NA	NA	NA	colloquial
hardver	116	33523	-5.6663968582915585	33639	TRUE	10.751743491594286	hardver	0.00344837837034394	33	23	English (n = 33)	20th c (n = 23)	0.5726005674327725		NA	English	20th c	English; 20th c	NA	1990	NA	NA	NA	other
haver	71848	634	4.7302591009135595	72482	TRUE	25.06899284918201	haver	0.9912530007450124	11	40	Yiddish (n = 11)	19th c (n = 40)	0.9059876589074144		FALSE	Yiddish	19th c	Yiddish	German/Yiddish (colloquial)	1862	jiddis	FALSE	NA	colloquial
hotel	7618	139392	-2.9067762398140284	147010	TRUE	84.98963616759963	hotel	0.05181960410856404	33	50	English (n = 33)	unknown (n = 50)	1.2131043681463105		NA	English	unknown		NA	NA	NA	NA	NA	other
jampec	183	281	-0.4288685164923248	464	TRUE	10.527365816503329	jampec	0.3943965517241379	11	23	Yiddish (n = 11)	20th c (n = 23)	-1.287724528884444		FALSE	Yiddish	20th c	Yiddish	German/Yiddish (colloquial)	1921	jiddis	FALSE	NA	colloquial
junker	25	218	-2.1656192379208883	243	TRUE	4.7358192046460825	junker	0.10288065843621398	47	50	German (n = 47)	unknown (n = 50)	-1.5686362358410126		FALSE	German	unknown		German/Yiddish (colloquial)	NA	NA	NA	NA	colloquial
kadet	158	416	-0.9680902272342964	574	TRUE	10.700874300794013	kadet	0.27526132404181186	47	26	German (n = 47)	18th c (n = 26)	-1.1953306170413514		FALSE	German	18th c	German; 18th c	German/Yiddish (colloquial)	1732	NA	NA	NA	colloquial
kampec	41	30	0.31237468504215243	71	TRUE	4.162204183118823	kampec	0.5774647887323944	47	40	German (n = 47)	19th c (n = 40)	-2.1029841607202497		FALSE	German	19th c	German; 19th c	German/Yiddish (colloquial)	1848	bizonytalan eredetű, esetleg német jövevényszó	FALSE	NA	colloquial
karcer	36	93	-0.949080554697146	129	TRUE	5.094456631682423	karcer	0.27906976744186046	15	15	Latin (n = 15)	17th c (n = 15)	-1.843652799140076		TRUE	Latin	17th c	Latin	French/Latin (educated)	1647	latin	FALSE	NA	educated
kartell	141	5169	-3.601674634817871	5310	TRUE	11.715627691395362	kartell	0.02655367231638417	47	40	German (n = 47)	19th c (n = 40)	-0.22914798835785583		FALSE	German	19th c	German; 19th c	German/Yiddish (colloquial)	1807	német	FALSE	NA	colloquial
karter	113	232	-0.7193495529539694	345	TRUE	8.717132888576463	karter	0.32753623188405795	29	50	other (n = 29)	unknown (n = 50)	-1.4164234143660508		NA	other	unknown		NA	NA	NA	NA	NA	other
klapec	18	9	0.6931471805599453	27	TRUE	2.4494897427831783	klapec	0.6666666666666666	29	26	other (n = 29)	18th c (n = 26)	-2.5228787452803374		NA	other	18th c		NA	1774	szlovák	FALSE	NA	other
klaszter	77	20087	-5.564022696780865	20164	TRUE	8.758193941608374	klaster	0.00381868676849831	33	50	English (n = 33)	unknown (n = 50)	0.35033417932678806		NA	English	unknown		NA	NA	NA	NA	NA	other
klozet	388	185	0.7406495145449485	573	TRUE	11.192430750654768	klozet	0.6771378708551483	33	50	English (n = 33)	unknown (n = 50)	-1.196087887471935		NA	English	unknown		NA	NA	NA	NA	NA	other
koffer	668	2175	-1.180495769986139	2843	TRUE	22.60629715636893	koffer	0.23496306718255364	47	26	German (n = 47)	18th c (n = 26)	-0.5004656497488827		FALSE	German	18th c	German; 18th c	German/Yiddish (colloquial)	1757	német	FALSE	NA	colloquial
kolesz	2920	320	2.211017899468555	3240	TRUE	16.982198377371375	koles	0.9012345679012346	29	50	other (n = 29)	unknown (n = 50)	-0.44369749923271273		NA	other	unknown		NA	NA	NA	NA	NA	other
koncert	69	510521	-8.909080547284567	510590	TRUE	8.306062574593154	koncert	1.3513778178186032e-4	27	26	French (n = 27)	18th c (n = 26)	1.7538297953740938	international word	TRUE	French	18th c	French	French/Latin (educated)	1753	nemzetközi	TRUE	international word	educated
konszern	3	6888	-7.738923757439457	6891	TRUE	1.7316737419700765	konsern	4.3535045711798017e-4	33	50	English (n = 33)	unknown (n = 50)	-0.11596025952463633		NA	English	unknown		NA	NA	NA	NA	NA	other
konzerv	70	16657	-5.472090585427749	16727	TRUE	8.349075424333094	konzerv	0.00418485083995934	33	40	English (n = 33)	19th c (n = 40)	0.2691755474659694		NA	English	19th c	English; 19th c	NA	1872	a szócsalád időrendben legkorábbi tagja, a konzervál latin jövevényszó	FALSE	NA	other
kopek	22	144	-1.8787708462176849	166	TRUE	4.368562389321868	kopek	0.1325301204819277	29	26	other (n = 29)	18th c (n = 26)	-1.7341344213992698		NA	other	18th c		NA	1757	vándorszó	FALSE	NA	other
korner	48	620	-2.5585184671312464	668	TRUE	6.674645923462369	korner	0.0718562874251497	33	50	English (n = 33)	unknown (n = 50)	-1.1294660469637792		NA	English	unknown		NA	NA	NA	NA	NA	other
kornett	8	71	-2.1832383353614793	79	TRUE	2.681393931842451	kornett	0.10126582278481014	27	50	French (n = 27)	unknown (n = 50)	-2.0566154181488834		TRUE	French	unknown	French	French/Latin (educated)	NA	NA	NA	NA	educated
korvett	4	622	-5.0466457316192885	626	TRUE	1.9935999835896592	korvett	0.00638977635782747	27	40	French (n = 27)	19th c (n = 40)	-1.1576681762288952	international word	TRUE	French	19th c	French	French/Latin (educated)	1806	nemzetközi	TRUE	international word	educated
krapek	436	39	2.414080597219388	475	TRUE	5.9831341901082356	krapek	0.9178947368421052	29	40	other (n = 29)	19th c (n = 40)	-1.2775488998144584		NA	other	19th c		NA	1862	szlovák	FALSE	NA	other
krokett	47	1584	-3.5175609706643125	1631	TRUE	6.756153949281257	krokett	0.02881667688534641	27	50	French (n = 27)	unknown (n = 50)	-0.7417885483990491		TRUE	French	unknown	French	French/Latin (educated)	NA	NA	NA	NA	educated
kráter	87	9093	-4.649352047071329	9180	TRUE	9.283075470773596	kráter	0.00947712418300653	15	15	Latin (n = 15)	17th c (n = 15)	0.00860017176191757		TRUE	Latin	17th c	Latin	French/Latin (educated)	1636	latin	FALSE	NA	educated
kukker	53	236	-1.493539891473488	289	TRUE	6.578774720007442	kukker	0.18339100346020765	47	40	German (n = 47)	19th c (n = 40)	-1.493344666682777		FALSE	German	19th c	German; 19th c	German/Yiddish (colloquial)	1803	német	FALSE	NA	colloquial
kupec	72	662	-2.218599436920953	734	TRUE	8.058370164014091	kupec	0.09809264305177112	29	15	other (n = 29)	17th c (n = 15)	-1.0885464495232544		NA	other	17th c		NA	1632	szlovák	FALSE	NA	other
kábel	658	94028	-4.962142957912092	94686	TRUE	25.562225459975014	kábel	0.00694928500517499	47	40	German (n = 47)	19th c (n = 40)	1.0220432607759946	international word	FALSE	German	19th c	German; 19th c	German/Yiddish (colloquial)	1867	nemzetközi	TRUE	international word	colloquial
káder	52	3884	-4.313377110829788	3936	TRUE	7.163309858583621	káder	0.01321138211382114	47	40	German (n = 47)	19th c (n = 40)	-0.35918741968002094		FALSE	German	19th c	German; 19th c	German/Yiddish (colloquial)	1885	német	FALSE	NA	colloquial
kódex	19	48210	-7.838882768233227	48229	TRUE	4.358040256461757	kódekš	3.939538451968734e-4	15	6	Latin (n = 15)	16th c (n = 6)	0.7290657477348014		TRUE	Latin	16th c	Latin	French/Latin (educated)	1559	latin	FALSE	NA	educated
kókler	29	2218	-4.337065337923838	2247	TRUE	5.350301223900468	kókler	0.01290609701824655	47	15	German (n = 47)	17th c (n = 15)	-0.602639437020196		FALSE	German	17th c	German; 17th c	German/Yiddish (colloquial)	1629	német	FALSE	NA	colloquial
kóter	222	254	-0.13465688514625712	476	TRUE	10.884033483683776	kóter	0.4663865546218487	47	26	German (n = 47)	18th c (n = 26)	-1.2766355567188317		FALSE	German	18th c	German; 18th c	German/Yiddish (colloquial)	1720	német (baj	FALSE	NA	colloquial
lasztex	1	19	-2.9444389791664407	20	TRUE	0.9746794344808964	lastekš	0.04999999999999999	29	50	other (n = 29)	unknown (n = 50)	-2.6532125137753435		NA	other	unknown		NA	NA	NA	NA	NA	other
latex	125	2639	-3.049841599201023	2764	TRUE	10.924603467686776	latekš	0.04522431259044863	15	50	Latin (n = 15)	unknown (n = 50)	-0.5127044707371641		TRUE	Latin	unknown	Latin	French/Latin (educated)	NA	NA	NA	NA	educated
luesz	1	22	-3.0910424533583156	23	TRUE	0.9780192938436516	lues	0.04347826086956522	29	50	other (n = 29)	unknown (n = 50)	-2.592514673421732		NA	other	unknown		NA	NA	NA	NA	NA	other
lumen	2	1760	-6.779921907472252	1762	TRUE	1.4134107161191358	lumen	0.00113507377979568	27	50	French (n = 27)	unknown (n = 50)	-0.7082366053632958		TRUE	French	unknown	French	French/Latin (educated)	NA	NA	NA	NA	educated
lumpen	1	414	-6.025865973825314	415	TRUE	0.9987944540523755	lumpen	0.00240963855421686	47	50	German (n = 47)	unknown (n = 50)	-1.3361944127272323		FALSE	German	unknown		German/Yiddish (colloquial)	NA	NA	NA	NA	colloquial
láger	552	6769	-2.506560598231512	7321	TRUE	22.591579324129174	láger	0.07539953558257072	47	26	German (n = 47)	18th c (n = 26)	-0.08967210258589463		FALSE	German	18th c	German; 18th c	German/Yiddish (colloquial)	1759	német	FALSE	NA	colloquial
lóden	8	51	-1.8523840910444895	59	TRUE	2.629687098741623	lóden	0.13559322033898308	47	26	German (n = 47)	18th c (n = 26)	-2.1833904977971805		FALSE	German	18th c	German; 18th c	German/Yiddish (colloquial)	1788	német	FALSE	NA	colloquial
macesz	117	88	0.28483712031954966	205	TRUE	7.086916836248499	maces	0.5707317073170731	11	40	Yiddish (n = 11)	19th c (n = 40)	-1.6424886483835706		FALSE	Yiddish	19th c	Yiddish	German/Yiddish (colloquial)	1862	jiddis	FALSE	NA	colloquial
macher	14	40	-1.0498221244986778	54	TRUE	3.220305943597653	maher	0.25925925925925924	47	40	German (n = 47)	19th c (n = 40)	-2.221848749616356		FALSE	German	19th c	German; 19th c	German/Yiddish (colloquial)	1878	német	FALSE	NA	colloquial
majszter	2	21	-2.3513752571634776	23	TRUE	1.3513278493843526	majster	0.08695652173913043	47	15	German (n = 47)	17th c (n = 15)	-2.592514673421732		FALSE	German	17th c	German; 17th c	German/Yiddish (colloquial)	1611	német	FALSE	NA	colloquial
makett	345	17752	-3.94070904758107	18097	TRUE	18.396275248789667	makett	0.01906393324860474	33	23	English (n = 33)	20th c (n = 23)	0.30336407695298623	international word	NA	English	20th c	English; 20th c	NA	1902	nemzetközi	TRUE	international word	other
malter	667	222	1.1001126640433443	889	TRUE	12.905906775437668	malter	0.750281214848144	29	50	other (n = 29)	unknown (n = 50)	-1.0053407484691113		NA	other	unknown		NA	NA	NA	NA	NA	other
maszek	2084	80	3.260017768199376	2164	TRUE	8.777386505288252	masek	0.9630314232902034	29	23	other (n = 29)	20th c (n = 23)	-0.6189852530047931		NA	other	20th c		NA	1951	szórövidítéssel keletkezett szóösszevonás eredménye	FALSE	NA	other
matek	18299	276	4.194200826810537	18575	TRUE	16.489360328335525	matek	0.9851413189771197	29	50	other (n = 29)	unknown (n = 50)	0.3146863129932881		NA	other	unknown		NA	NA	NA	NA	NA	other
mater	193	2954	-2.7282252741864395	3147	TRUE	13.459704599977396	mater	0.0613282491261519	15	50	Latin (n = 15)	unknown (n = 50)	-0.45634576652610453		TRUE	Latin	unknown	Latin	French/Latin (educated)	NA	NA	NA	NA	educated
modell	231	523157	-7.725219178681491	523388	TRUE	15.195329774493368	modell	4.4135517054269487e-4	47	26	German (n = 47)	18th c (n = 26)	1.764581251674002	international word	FALSE	German	18th c	German; 18th c	German/Yiddish (colloquial)	1789	nemzetközi	TRUE	international word	colloquial
modem	89	21524	-5.4882875008771705	21613	TRUE	9.414537036475023	modem	0.00411789200943876	33	23	English (n = 33)	20th c (n = 23)	0.3804725440250331		NA	English	20th c	English; 20th c	NA	1990	NA	NA	NA	other
modern	22	323	-2.686609869864341	345	TRUE	4.5384029624169955	modern	0.06376811594202898	27	26	French (n = 27)	18th c (n = 26)	-1.4164234143660508		TRUE	French	18th c	French	French/Latin (educated)	1799	NA	NA	NA	educated
moped	18	3353	-5.227238988570064	3371	TRUE	4.231298392599425	moped	0.00533966182141797	27	50	French (n = 27)	unknown (n = 50)	-0.426483756918353		TRUE	French	unknown	French	French/Latin (educated)	NA	NA	NA	NA	educated
motel	617	3365	-1.6963142181734403	3982	TRUE	22.834131008758867	motel	0.15494726268206932	33	23	English (n = 33)	20th c (n = 23)	-0.35414125374793415	international word	NA	English	20th c	English; 20th c	NA	1958	nemzetközi	TRUE	international word	other
muter	745	102	1.9884114050952884	847	TRUE	9.471887192601812	muter	0.8795749704840614	47	40	German (n = 47)	19th c (n = 40)	-1.026359099108618		FALSE	German	19th c	German; 19th c	German/Yiddish (colloquial)	1840	német	FALSE	NA	colloquial
