stem	back	front	log_odds_back	stem_freq	stem_varies	sd_back	transcribed	p_back	n1	n2	borrowing_language2	borrowing_period2	stem_log10_freq	international2	category_educated	borrowing_language	borrowing_period	borrowing_label	borrowing_category	first_mention	borrowing_original	international	note	category_educated_other
púder	140	4318	-3.4289051884654485	4458	TRUE	11.644887702366123	púder	0.03140421713772992	47	26	German (n = 47)	18th c (n = 26)	-0.30510244529510594		FALSE	German	18th c	German; 18th c	German/Yiddish (colloquial)	1713	német	FALSE	NA	colloquial
raszter	47	1230	-3.2646218466564045	1277	TRUE	6.72831066820824	raster	0.03680501174628035	33	23	English (n = 33)	20th c (n = 23)	-0.8480516121759095		NA	English	20th c	English; 20th c	NA	1950	NA	NA	NA	other
rocker	12	6309	-6.264825814582809	6321	TRUE	3.4608118692720846	rokker	0.00189843379212149	33	23	English (n = 33)	20th c (n = 23)	-0.15345671911156222		NA	English	20th c	English; 20th c	NA	1950	NA	NA	NA	other
roller	372	5646	-2.719808754540288	6018	TRUE	18.681675113459857	roller	0.06181455633100698	47	23	German (n = 47)	20th c (n = 23)	-0.17479032603526315		FALSE	German	20th c	German; 20th c	German/Yiddish (colloquial)	1932	német	FALSE	NA	colloquial
rubel	119	3917	-3.493957840554302	4036	TRUE	10.746689166788618	rubel	0.0294846382556987	29	26	other (n = 29)	18th c (n = 26)	-0.348291351874452		NA	other	18th c		NA	1725	vándorszó	FALSE	NA	other
rulett	40	3046	-4.332705079341171	3086	TRUE	6.283432938132655	rulett	0.01296176279974076	27	40	French (n = 27)	19th c (n = 40)	-0.4648465877121954	international word	TRUE	French	19th c	French	French/Latin (educated)	1818	nemzetközi	TRUE	international word	educated
sakter	46	226	-1.591893602783191	272	TRUE	6.182280180911741	šakter	0.1691176470588235	11	26	Yiddish (n = 11)	18th c (n = 26)	-1.519673605405126		FALSE	Yiddish	18th c	Yiddish	German/Yiddish (colloquial)	1782	jiddis	FALSE	NA	colloquial
saller	96	3971	-3.722425039663415	4067	TRUE	9.681629833509216	šaller	0.02360462257192033	47	50	German (n = 47)	unknown (n = 50)	-0.3449683370347373		FALSE	German	unknown		German/Yiddish (colloquial)	NA	NA	NA	NA	colloquial
samesz	484	188	0.9456429438866824	672	TRUE	11.636355181273984	šames	0.7202380952380952	11	40	Yiddish (n = 11)	19th c (n = 40)	-1.1268732363854996		FALSE	Yiddish	19th c	Yiddish	German/Yiddish (colloquial)	1864	jiddis	FALSE	NA	colloquial
skanzen	829	9519	-2.44082492511601	10348	TRUE	27.614979086814653	škanzen	0.08011209895632007	29	50	other (n = 29)	unknown (n = 50)	0.06061391060518094		NA	other	unknown		NA	NA	NA	NA	NA	other
sláger	34	52571	-7.343559391272451	52605	TRUE	5.829067241212422	šláger	6.46326394829389e-4	47	40	German (n = 47)	19th c (n = 40)	0.7667845154978589		FALSE	German	19th c	German; 19th c	German/Yiddish (colloquial)	1854	német (au	FALSE	NA	colloquial
sparherd	11	139	-2.5365786603323213	150	TRUE	3.1927000067863145	šparherd	0.07333333333333333	47	50	German (n = 47)	unknown (n = 50)	-1.7781512503836436		FALSE	German	unknown		German/Yiddish (colloquial)	NA	NA	NA	NA	colloquial
srapnel	10	320	-3.4657359027997265	330	TRUE	3.113995776646092	šrapnel	0.0303030303030303	47	40	German (n = 47)	19th c (n = 40)	-1.4357285695614375	international word	FALSE	German	19th c	German; 19th c	German/Yiddish (colloquial)	1848	nemzetközi	TRUE	international word	colloquial
stukker	113	510	-1.507022907006031	623	TRUE	9.617900646247678	štukker	0.1813804173354735	47	50	German (n = 47)	unknown (n = 50)	-1.1597544627801553		FALSE	German	unknown		German/Yiddish (colloquial)	NA	NA	NA	NA	colloquial
subler	10	64	-1.8562979903656265	74	TRUE	2.940858488375231	šubler	0.1351351351351351	29	50	other (n = 29)	unknown (n = 50)	-2.0850107897083485		NA	other	unknown		NA	NA	NA	NA	NA	other
sumer	985	684	0.3646837235495385	1669	TRUE	20.091760739431106	šumer	0.5901737567405633	29	50	other (n = 29)	unknown (n = 50)	-0.7317861727600782		NA	other	unknown		NA	NA	NA	NA	NA	other
suszter	178	747	-1.434281634840732	925	TRUE	11.989454826097266	šuster	0.1924324324324325	47	15	German (n = 47)	17th c (n = 15)	-0.9881007767002923		FALSE	German	17th c	German; 17th c	German/Yiddish (colloquial)	1608	német (baj	FALSE	NA	colloquial
szkander	139	375	-0.9924520928397192	514	TRUE	10.0702783395781	skander	0.2704280155642023	29	50	other (n = 29)	unknown (n = 50)	-1.2432793904440491		NA	other	unknown		NA	NA	NA	NA	NA	other
szlogen	25	31893	-7.151266004088514	31918	TRUE	4.9980414736766905	slogen	7.832570963092926e-4	27	50	French (n = 27)	unknown (n = 50)	0.5497931609531396		TRUE	French	unknown	French	French/Latin (educated)	NA	NA	NA	NA	educated
szoftver	61	191360	-8.051037885571093	191421	TRUE	7.809005133270775	softver	3.18669320502975e-4	33	23	English (n = 33)	20th c (n = 23)	1.327747071252456		NA	English	20th c	English; 20th c	NA	1990	NA	NA	NA	other
szonett	20	4499	-5.4158781552871815	4519	TRUE	4.4622286855089754	sonett	0.00442575791104226	27	26	French (n = 27)	18th c (n = 26)	-0.29920016810812317	international word	TRUE	French	18th c	French	French/Latin (educated)	1789	nemzetközi	TRUE	international word	educated
szovjet	8	31869	-8.289947487768288	31877	TRUE	2.8280721848703148	sovjet	2.509646453555854e-4	29	40	other (n = 29)	19th c (n = 40)	0.5492349329976701		NA	other	19th c		NA	1895	orosz	FALSE	NA	other
szubrett	1	425	-6.052089168924417	426	TRUE	0.9988256014738632	subrett	0.00234741784037558	27	50	French (n = 27)	unknown (n = 50)	-1.3248329103366059		TRUE	French	unknown	French	French/Latin (educated)	NA	NA	NA	NA	educated
sábesz	10	102	-2.3223877202902252	112	TRUE	3.017804310611087	šábes	0.0892857142857143	11	50	Yiddish (n = 11)	unknown (n = 50)	-1.9050244867691433		FALSE	Yiddish	unknown	Yiddish	German/Yiddish (colloquial)	NA	NA	NA	NA	colloquial
sóder	373	1294	-1.2439150554170304	1667	TRUE	17.01585414081737	šóder	0.22375524895020996	47	26	German (n = 47)	18th c (n = 26)	-0.7323069096113195		FALSE	German	18th c	German; 18th c	German/Yiddish (colloquial)	1781	német (baj	FALSE	NA	colloquial
sólet	86	1280	-2.700268060660155	1366	TRUE	8.97695112704393	šólet	0.0629575402635432	11	40	Yiddish (n = 11)	19th c (n = 40)	-0.8187918100938111		FALSE	Yiddish	19th c	Yiddish	German/Yiddish (colloquial)	1870	jiddis	FALSE	NA	colloquial
tandem	20	2024	-4.617098756853365	2044	TRUE	4.450202836248853	tandem	0.00978473581213307	27	50	French (n = 27)	unknown (n = 50)	-0.6437616179766498		TRUE	French	unknown	French	French/Latin (educated)	NA	NA	NA	NA	educated
token	6	3934	-6.48565252972095	3940	TRUE	2.4476239384681704	token	0.0015228426395939	33	50	English (n = 33)	unknown (n = 50)	-0.35874628761375077		NA	English	unknown		NA	NA	NA	NA	NA	other
totem	2	2021	-6.918200536843676	2023	TRUE	1.4135143220028468	totem	9.886307464162137e-4	29	40	other (n = 29)	19th c (n = 40)	-0.6482466266685202		NA	other	19th c		NA	1845	NA	NA	NA	other
transzfer	36	13467	-5.9244785889939315	13503	TRUE	5.991996439300815	transfer	0.00266607420573206	33	50	English (n = 33)	unknown (n = 50)	0.17618775821881646		NA	English	unknown		NA	NA	NA	NA	NA	other
traverz	16	427	-3.284195290988843	443	TRUE	3.9271009531412	traverz	0.03611738148984199	29	50	other (n = 29)	unknown (n = 50)	-1.3078387832162552		NA	other	unknown		NA	NA	NA	NA	NA	other
tróger	79	756	-2.258593523712511	835	TRUE	8.457289666494463	tróger	0.0946107784431138	47	15	German (n = 47)	17th c (n = 15)	-1.0325560339557227		FALSE	German	17th c	German; 17th c	German/Yiddish (colloquial)	1623	német (baj	FALSE	NA	colloquial
valcer	16	225	-2.643511679964639	241	TRUE	3.864939758404985	valcer	0.06639004149377592	47	26	German (n = 47)	18th c (n = 26)	-1.5722254668644564		FALSE	German	18th c	German; 18th c	German/Yiddish (colloquial)	1793	német (au	FALSE	NA	colloquial
vamzer	9	107	-2.4756042571256867	116	TRUE	2.8812712711459563	vamzer	0.07758620689655173	47	50	German (n = 47)	unknown (n = 50)	-1.8897845202124064		FALSE	German	unknown		German/Yiddish (colloquial)	NA	NA	NA	NA	colloquial
vátesz	1	737	-6.602587892189336	738	TRUE	0.9993222635615924	vátes	0.0013550135501355	15	50	Latin (n = 15)	unknown (n = 50)	-1.0861861476162833		TRUE	Latin	unknown	Latin	French/Latin (educated)	NA	NA	NA	NA	educated
zsakett	67	413	-1.8187549735700668	480	TRUE	7.592622515749526	žakett	0.13958333333333334	27	40	French (n = 27)	19th c (n = 40)	-1.2730012720637376	international word	TRUE	French	19th c	French	French/Latin (educated)	1858	nemzetközi	TRUE	international word	educated
zsorzsett	1	58	-4.060443010546419	59	TRUE	0.9914892069294688	žoržett	0.01694915254237288	27	50	French (n = 27)	unknown (n = 50)	-2.1833904977971805		TRUE	French	unknown	French	French/Latin (educated)	NA	NA	NA	NA	educated
zsáner	19	6539	-5.841100548394835	6558	TRUE	4.35258000839625	žáner	0.00289722476364745	27	50	French (n = 27)	unknown (n = 50)	-0.13747109710597843		TRUE	French	unknown	French	French/Latin (educated)	NA	NA	NA	NA	educated
ágens	7	7110	-6.923347373741973	7117	TRUE	2.644449862745976	ágenš	9.835604889700718e-4	15	15	Latin (n = 15)	17th c (n = 15)	-0.10194554361239944		TRUE	Latin	17th c	Latin	French/Latin (educated)	1616	latin	FALSE	NA	educated
ájer	15	67	-1.496642418288756	82	TRUE	3.5008709717691127	ájer	0.18292682926829268	15	6	Latin (n = 15)	16th c (n = 6)	-2.040428657055608		TRUE	Latin	16th c	Latin	French/Latin (educated)	1565	latin	FALSE	NA	educated
ámen	1	445	-6.09807428216624	446	TRUE	0.998878294655376	ámen	0.00224215246636771	15	2	Latin (n = 15)	before 16th c (n = 2)	-1.304907650727183		TRUE	Latin	before 16th c	Latin	French/Latin (educated)	1200	latin	FALSE	NA	educated
