var_s	var_p	rmse
0.1	1	0.41772458613397606
0.1	2	0.4177109980251732
0.35	1	0.41785000000651984
0.35	2	0.4177386447629965
0.6	1	0.4180098886602212
0.6	2	0.4178083458632077
0.85	1	0.4180452268688905
0.85	2	0.41791269246531054
1.1	1	0.4180440396152209
1.1	2	0.41799057487091484
1.35	1	0.41803677837646774
1.35	2	0.41802880637718315
1.6	1	0.4180292345522304
1.6	2	0.41804306442667893
1.85	1	0.4180225108633887
1.85	2	0.4180463926262569
2.1	1	0.4180167245718382
2.1	2	0.41804513867347237
2.35	1	0.4180117879301503
2.35	2	0.41804206404793604
2.6	1	0.4180075605137963
2.6	2	0.4180383262302352
2.85	1	0.41800391831442735
2.85	2	0.4180344590928882
3.1	1	0.418000758724613
3.1	2	0.41803068977508395
3.35	1	0.4179979996196807
3.35	2	0.41802711503244994
3.6	1	0.4179955674829511
3.6	2	0.4180237752154509
3.85	1	0.4179934130304131
3.85	2	0.41802067844418
4.1	1	0.4179915023621143
4.1	2	0.4180178126528355
4.35	1	0.417989804697259
4.35	2	0.41801516111177606
4.6	1	0.4179882250271178
4.6	2	0.4180127181426457
4.85	1	0.41798680974546143
4.85	2	0.4180104482119162
